Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P_1,0-3_1,3-10_1,10-16_1,16-3P_1,3P_1,2P_2,3P_2,%FGA,#,%3PA,3P%,Att.,Md.,Awards,Year
Bismack Biyombo,21,CHA,C,77,9,1072,.611,3.4,1.000,.660,.243,.083,.014,.000,.611,.737,.371,.417,.000,,.716,,.257,37,,,0,0,,2013-2014
Lavoy Allen,24,2TM,PF,65,2,1072,.447,8.9,.957,.290,.270,.140,.257,.043,.460,.563,.531,.286,.364,.154,.697,1.000,.020,6,.000,,0,0,,2013-2014
Lavoy Allen,24,PHI,PF,51,2,960,.440,10.0,.951,.282,.267,.132,.271,.049,.455,.547,.535,.286,.361,.154,.678,1.000,.023,6,.000,,0,0,,2013-2014
Lavoy Allen,24,IND,PF,14,0,112,.500,7.7,1.000,.353,.294,.206,.147,.000,.500,.667,.500,.286,.400,,.824,,.000,0,,,0,0,,2013-2014
Travis Outlaw,29,SAC,SF,63,4,1065,.399,17.3,.641,.098,.113,.153,.276,.359,.426,.625,.432,.360,.389,.350,.494,.927,.034,10,.256,.367,0,0,,2013-2014
Will Bynum,31,DET,PG,56,3,1054,.428,10.6,.856,.337,.230,.060,.226,.144,.446,.614,.313,.308,.371,.323,.146,.500,.000,0,.048,.000,1,0,,2013-2014
Tyler Zeller,24,CLE,C,70,9,1049,.538,6.3,.997,.510,.238,.100,.148,.003,.540,.649,.362,.517,.465,.000,.795,,.107,30,.000,,1,0,,2013-2014
Diante Garrett,25,UTA,PG,71,0,1048,.381,15.1,.638,.162,.230,.132,.113,.362,.385,.535,.410,.314,.200,.375,.354,.889,.000,0,.250,.500,5,0,,2013-2014
Alonzo Gee,26,CLE,SF,65,24,1020,.415,11.5,.754,.394,.106,.114,.140,.246,.444,.613,.400,.296,.121,.328,.633,.947,.157,35,.707,.366,1,0,,2013-2014
Jordan Hamilton,23,2TM,SF,60,12,1019,.391,16.9,.473,.168,.165,.064,.077,.527,.433,.540,.371,.417,.345,.354,.519,.871,.021,7,.253,.480,0,0,,2013-2014
Jordan Hamilton,23,DEN,SF,39,11,670,.390,16.5,.492,.181,.150,.079,.083,.508,.432,.500,.368,.400,.429,.349,.463,.844,.024,5,.233,.467,0,0,,2013-2014
Jordan Hamilton,23,HOU,SF,21,1,349,.393,17.2,.434,.139,.197,.033,.066,.566,.434,.647,.375,.500,.125,.362,.652,.920,.016,2,.290,.500,0,0,,2013-2014
Chris Douglas-Roberts,27,CHA,SF,49,8,1016,.440,15.4,.476,.282,.111,.044,.040,.524,.500,.634,.357,.091,.400,.386,.533,.961,.012,3,.409,.444,0,0,,2013-2014
Greg Stiemsma,28,NOP,C,55,20,1007,.574,5.2,.992,.615,.180,.107,.090,.008,.579,.707,.409,.154,.545,.000,.700,,.148,14,.000,,0,0,,2013-2014
Ish Smith,25,PHO,PG,70,1,1006,.423,8.4,.918,.388,.288,.100,.139,.082,.457,.569,.370,.429,.359,.043,.153,.000,.004,1,.348,.000,0,0,,2013-2014
Luc Mbah a Moute,27,2TM,PF,64,7,1003,.451,7.9,.912,.570,.093,.021,.228,.088,.472,.564,.333,.000,.341,.235,.699,1.000,.073,11,.824,.286,0,0,,2013-2014
Luc Mbah a Moute,27,SAC,SF,9,5,196,.469,7.5,.906,.531,.219,.000,.156,.094,.483,.529,.143,,.800,.333,.857,1.000,.156,3,1.000,.333,0,0,,2013-2014
Luc Mbah a Moute,27,MIN,PF,55,2,807,.447,8.3,.913,.578,.068,.025,.242,.087,.469,.570,.455,.000,.282,.214,.667,1.000,.056,8,.786,.273,0,0,,2013-2014
Rajon Rondo,27,BOS,PG,30,30,998,.403,11.9,.743,.326,.211,.043,.163,.257,.442,.544,.324,.400,.404,.289,.200,.385,.000,0,.089,.250,1,0,,2013-2014
